name;date;variableId;value
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T17:00:00Z;114439;2.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T16:00:00Z;114439;34.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T15:00:00Z;114439;27.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T14:00:00Z;114439;136.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T13:00:00Z;114439;187.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T12:00:00Z;114439;162
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T11:00:00Z;114439;121
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T10:00:00Z;114439;18
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T09:00:00Z;114439;0.8
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-07T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T17:00:00Z;114439;1.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T16:00:00Z;114439;17.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T15:00:00Z;114439;46.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T14:00:00Z;114439;119.1
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T13:00:00Z;114439;188.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T12:00:00Z;114439;164.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T11:00:00Z;114439;100.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T10:00:00Z;114439;51
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T09:00:00Z;114439;3.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-06T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T17:00:00Z;114439;0.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T16:00:00Z;114439;11
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T15:00:00Z;114439;22.8
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T14:00:00Z;114439;38.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T13:00:00Z;114439;29.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T12:00:00Z;114439;44.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T11:00:00Z;114439;28.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T10:00:00Z;114439;18.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T09:00:00Z;114439;3.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-05T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T17:00:00Z;114439;1.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T16:00:00Z;114439;37.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T15:00:00Z;114439;59.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T14:00:00Z;114439;86.1
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T13:00:00Z;114439;81.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T12:00:00Z;114439;97.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T11:00:00Z;114439;65
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T10:00:00Z;114439;39.8
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T09:00:00Z;114439;2.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-04T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T17:00:00Z;114439;6.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T16:00:00Z;114439;54.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T15:00:00Z;114439;128.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T14:00:00Z;114439;145.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T13:00:00Z;114439;128.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T12:00:00Z;114439;135.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T11:00:00Z;114439;116.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-03T10:00:00Z;114439;80.1
